Ticket.Number,Issue.Date,Location,Violation.Code,Violation.Description,Fine.Level.1,Ticket.Status,Speed.Camera.ID,geocode_lat,geocode_lon,full_address
8000000511,11/6/2024 7:46,331 W CHICAGO AVE,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3602,41.8963422,-87.6367582,"331 W CHICAGO AVE Chicago, IL"
8000000526,11/6/2024 8:16,433 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3602,41.8759977,-87.6289686,"433 S DEARBORN ST Chicago, IL"
8000000527,11/6/2024 8:20,58 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3602,41.8612499,-87.6288615,"58 S DEARBORN ST Chicago, IL"
8000000525,11/6/2024 8:20,13 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3602,41.8816441,-87.6289614,"13 S DEARBORN ST Chicago, IL"
8000000528,11/6/2024 8:29,1021 W LAKE ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3603,41.8853603,-87.6531291,"1021 W LAKE ST Chicago, IL"
8000000529,11/6/2024 8:29,1019 W LAKE ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3603,41.8853578,-87.6529478,"1019 W LAKE ST Chicago, IL"
8000000531,11/6/2024 8:33,500 W MADISON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3601,41.8823361,-87.6403662,"500 W MADISON ST Chicago, IL"
8000000532,11/6/2024 8:34,201 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3602,41.8794483,-87.6293186,"201 S DEARBORN ST Chicago, IL"
8000000533,11/6/2024 8:34,131 S DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3602,41.8798336,-87.629167,"131 S DEARBORN ST Chicago, IL"
8000000534,11/6/2024 8:36,555 W WASHINGTON BLVD,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3601,41.8830548,-87.6418366,"555 W WASHINGTON BLVD Chicago, IL"
8000000536,11/6/2024 8:36,33 N DEARBORN ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3602,41.8828847,-87.6289326,"33 N DEARBORN ST Chicago, IL"
8000000537,11/6/2024 8:38,10 S CLINTON ST,09108040*,30 DAY INSTALLATION WARNING - SMRT ST,0,,FI3601,41.8814411,-87.6415793,"10 S CLINTON ST Chicago, IL"
