"MONTH","DAYTYPE","ROUTEA","DIRECTION","SORTORDER","CTASTOPID","STREET","CROSS_ST","BOARDINGS"
"November 2024","Weekday","1","North","20","15314","INDIANA","35TH STREET","15.83"
"November 2024","Weekday","1","North","30","1560","INDIANA","34TH STREET","3.242"
"November 2024","Weekday","1","North","40","16119","INDIANA","33RD BOULEVARD","18.032"
"November 2024","Weekday","1","North","50","1562","INDIANA","32ND STREET","11.29"
"November 2024","Weekday","1","North","60","1563","INDIANA","31ST STREET","14.924"
"November 2024","Weekday","1","North","70","1564","MICHIGAN","3000 SOUTH","6.504"
"November 2024","Weekday","1","North","80","1565","MICHIGAN","29TH STREET","14.825"
"November 2024","Weekday","1","North","90","1566","MICHIGAN","28TH STREET","8.97"
"November 2024","Weekday","1","North","100","1567","MICHIGAN","26TH STREET","25.366"
"November 2024","Weekday","1","North","110","1568","MICHIGAN","25TH STREET","3.746"
"November 2024","Weekday","1","North","120","15313","MICHIGAN","24TH STREET","5.148"
"November 2024","Weekday","1","North","130","1570","MICHIGAN","23RD STREET","10.96"
"November 2024","Weekday","1","North","140","15312","MICHIGAN","CERMAK","14.399"
"November 2024","Weekday","1","North","150","1573","MICHIGAN","21ST STREET","11.71"
"November 2024","Weekday","1","North","160","1574","MICHIGAN","CULLERTON","40.037"
"November 2024","Weekday","1","North","170","1575","MICHIGAN","18TH STREET","37.848"
"November 2024","Weekday","1","North","190","14760","MICHIGAN","16TH STREET","37.992"
"November 2024","Weekday","1","North","200","18318","MICHIGAN","14TH STREET","36.114"
"November 2024","Weekday","1","North","210","1579","MICHIGAN","13TH STREET","33.374"
"November 2024","Weekday","1","North","220","1580","MICHIGAN","ROOSEVELT","28.634"
"November 2024","Weekday","1","North","230","1581","MICHIGAN","11TH STREET","16.35"
"November 2024","Weekday","1","North","240","1582","MICHIGAN","9TH STREET","9.174"
"November 2024","Weekday","1","North","250","1583","MICHIGAN","8TH STREET","13.586"
"November 2024","Weekday","1","North","260","1584","MICHIGAN","BALBO","7.547"
"November 2024","Weekday","1","North","270","14485","MICHIGAN","IDA B WELLS DRIVE","18.801"
"November 2024","Weekday","1","North","280","75","MICHIGAN","VAN BUREN","15.088"
"November 2024","Weekday","1","North","300","77","ADAMS","WABASH","26.103"
"November 2024","Weekday","1","North","310","4732","ADAMS","STATE","36.978"
"November 2024","Weekday","1","North","320","17046","ADAMS","CLARK","7.461"
"November 2024","Weekday","1","North","330","80","ADAMS","WELLS","5.235"
"November 2024","Weekday","1","North","340","1108","ADAMS","S. WACKER","1.875"
"November 2024","Weekday","1","North","360","4992","CLINTON","QUINCY","0.517"
"November 2024","Weekday","1","North","370","12713","ADAMS","CANAL","0"
"November 2024","Weekday","1","North","390","13155","DESPLAINES","HARRISON","0.062"
"November 2024","Weekday","1","South","20","13155","DESPLAINES","HARRISON","22.246"
"November 2024","Weekday","1","South","30","18661","JEFFERSON","HARRISON","2.189"
"November 2024","Weekday","1","South","40","18498","JEFFERSON","VAN BUREN","5.673"
"November 2024","Weekday","1","South","50","67","JACKSON","CANAL","60.573"
"November 2024","Weekday","1","South","60","14461","JACKSON","CHICAGO RIVER","108.826"
"November 2024","Weekday","1","South","70","68","JACKSON","FRANKLIN","77.003"
"November 2024","Weekday","1","South","80","69","JACKSON","FINANCIAL PLACE","37.11"
"November 2024","Weekday","1","South","90","70","JACKSON","DEARBORN","27.052"
"November 2024","Weekday","1","South","100","71","JACKSON","STATE","14.158"
"November 2024","Weekday","1","South","110","72","JACKSON","WABASH","9.156"
"November 2024","Weekday","1","South","130","73","MICHIGAN","betw. VAN BUREN & IDA B. WELLS","22.86"
"November 2024","Weekday","1","South","140","1586","MICHIGAN","HARRISON","5.031"
"November 2024","Weekday","1","South","150","1587","MICHIGAN","BALBO","14.414"
"November 2024","Weekday","1","South","160","1588","MICHIGAN","8TH STREET","5.889"
"November 2024","Weekday","1","South","170","1589","MICHIGAN","9TH STREET","2.554"
"November 2024","Weekday","1","South","180","1590","MICHIGAN","11TH STREET","6.063"
"November 2024","Weekday","1","South","190","1591","MICHIGAN","ROOSEVELT","38.418"
"November 2024","Weekday","1","South","200","1592","MICHIGAN","13TH STREET","6.789"
"November 2024","Weekday","1","South","210","1593","MICHIGAN","14TH STREET","6.111"
"November 2024","Weekday","1","South","230","1595","MICHIGAN","16TH STREET","5.235"
"November 2024","Weekday","1","South","240","1596","MICHIGAN","18TH STREET","2.943"
"November 2024","Weekday","1","South","250","1597","MICHIGAN","CULLERTON","4.091"
"November 2024","Weekday","1","South","260","1598","MICHIGAN","21ST STREET","3.818"
